"","RT_or_not","t_hash","t_mention","t_sentiment","V5","V6","V7","t_link"
"167",0,3,0,2,0,1,1,2
"168",0,3,0,2,0,0,0,2
"169",0,3,0,2,0,0,0,2
"170",0,6,0,2,0,0,0,0
"171",0,1,2,2,0,0,1,1
"172",0,3,0,3,0,0,1,1
"173",0,3,0,3,0,0,1,2
"174",0,3,0,2,0,0,1,2
"175",0,4,0,2,0,0,2,1
"176",0,4,0,2,0,0,3,1
"177",0,3,0,2,0,0,2,2
"178",0,3,0,2,0,1,0,2
"179",0,3,0,2,0,0,0,2
"180",0,3,0,1,0,0,2,2
"181",0,3,0,2,0,0,1,2
"182",0,3,0,2,0,0,2,2
"183",0,3,0,2,0,0,2,1
"184",0,2,0,2,0,0,0,1
"185",0,2,0,3,0,0,2,2
"186",1,3,1,2,1,0,2,2
"187",0,2,0,2,0,0,1,0
"188",0,8,0,3,0,0,0,1
"189",0,2,0,1,1,0,2,1
"190",0,5,0,2,0,0,0,1
"191",0,4,0,3,0,0,2,1
"192",0,1,0,2,0,0,3,0
"193",0,1,0,1,0,0,2,1
"194",0,2,0,1,0,0,1,1
"195",0,3,0,2,0,0,0,3
"196",0,3,0,2,0,1,0,2
"197",0,3,0,2,0,1,0,2
"198",0,3,0,2,0,0,1,2
"199",0,3,0,2,0,0,3,2
"200",0,3,0,2,0,0,0,2
"201",0,2,0,1,0,0,0,0
"202",0,2,0,1,0,0,0,1
"203",0,3,0,3,0,0,2,2
"204",0,3,0,2,0,0,1,2
"205",1,1,1,1,0,0,2,1
"206",0,3,0,2,1,0,2,2
"207",0,3,0,2,0,0,0,2
"208",0,3,0,2,0,0,0,2
"209",0,3,0,2,0,0,2,2
"210",0,3,0,1,0,0,3,2
"211",0,3,0,2,0,0,1,2
"212",0,3,0,2,0,0,0,2
"213",0,3,0,2,0,0,0,2
"214",0,3,0,2,0,1,0,2
"215",0,3,0,3,0,0,1,2
"216",0,3,0,2,0,0,2,2
"217",0,3,0,2,0,0,0,2
"218",0,4,0,1,0,0,2,1
"219",0,4,0,1,0,0,3,1
"220",0,4,0,3,0,0,4,1
"221",0,3,0,2,0,0,0,2
"222",0,3,0,2,0,1,0,2
"223",0,3,0,2,0,0,0,3
"224",0,3,0,3,0,0,1,2
"225",0,3,0,2,0,0,0,2
"226",0,8,0,2,0,0,1,2
"227",0,3,0,3,0,0,1,2
"228",0,3,0,2,0,0,0,2
"229",0,5,0,2,0,0,0,2
"230",0,3,0,3,1,0,0,2
"231",0,3,0,2,0,0,0,2
"232",0,3,0,3,1,0,1,2
"233",0,3,0,2,0,0,2,2
"234",0,3,0,2,0,0,3,2
"235",0,2,0,2,0,0,2,2
"236",0,2,0,3,0,0,0,1
"237",0,6,0,3,0,0,1,1
"238",0,6,0,2,0,0,0,2
"239",1,2,1,2,0,0,0,2
"240",0,3,0,3,0,0,1,1
"241",0,1,0,2,0,0,1,1
"242",0,3,0,2,0,0,3,2
"243",0,3,0,2,0,0,1,2
"244",0,3,0,3,0,0,0,3
"245",0,3,0,2,0,0,1,2
"246",0,4,0,3,0,0,2,1
"247",0,3,0,2,0,0,1,2
"248",0,3,0,2,0,0,0,2
"249",0,3,0,3,0,0,1,2
"250",0,3,0,2,0,0,1,1
"251",0,2,0,3,0,0,1,1
"252",0,3,0,2,0,0,0,2
"253",1,2,1,1,0,0,1,2
"254",0,6,0,2,0,0,1,2
"255",0,2,0,3,0,0,0,1
"256",0,1,0,3,0,0,0,1
"257",0,1,1,2,0,0,3,2
"258",0,3,0,2,0,0,1,2
"259",0,3,0,2,0,0,3,2
"260",0,3,0,2,0,0,1,2
"261",0,3,0,2,0,0,1,2
"262",0,1,0,2,0,1,2,1
"263",0,3,0,1,0,0,0,2
"264",0,3,0,2,0,2,0,2
"265",1,2,1,2,0,0,1,2
"266",0,3,0,2,1,0,0,2
"267",0,3,0,3,0,0,1,2
"268",0,3,0,2,0,0,0,2
"269",0,4,1,2,0,0,1,1
"270",0,3,0,2,0,0,2,2
"271",0,3,0,3,0,0,0,2
"272",0,3,0,2,0,0,2,2
"273",0,3,0,3,0,0,1,2
"274",0,3,0,2,0,0,0,2
"275",0,5,0,2,1,0,2,2
"276",0,4,1,1,0,0,0,1
"277",0,5,0,2,0,0,0,2
"278",0,2,0,3,0,0,1,2
"279",0,2,0,2,0,0,1,1
"280",0,1,0,2,0,0,1,1
"281",0,3,0,3,0,0,2,1
"282",0,1,0,2,0,0,1,1
"283",1,2,1,2,0,0,2,1
"284",0,3,0,2,0,0,1,2
"285",0,1,0,2,0,0,3,0
"286",0,1,0,2,0,0,1,1
"287",0,2,0,2,0,0,2,1
"288",0,1,0,2,0,0,1,1
"289",0,4,0,3,0,0,0,1
"290",0,4,0,3,0,0,0,1
"291",0,3,0,2,0,0,1,2
"292",0,1,0,2,0,0,1,0
"293",0,3,0,2,0,0,0,2
"294",0,3,0,2,0,0,0,2
"295",0,8,0,2,0,0,0,2
"296",0,1,0,2,0,1,0,2
"297",0,3,1,2,0,0,3,2
"298",1,4,2,1,0,0,0,1
"299",0,3,0,2,0,0,0,0
"300",0,4,0,3,0,0,1,1
"301",0,2,0,3,0,0,0,2
"302",0,4,0,2,1,1,0,1
"303",0,4,0,2,1,0,0,1
"304",0,4,0,2,1,0,0,1
"305",0,4,0,2,0,0,0,1
"306",0,4,0,1,0,0,0,1
"307",0,4,0,2,0,0,0,1
"308",0,4,0,2,0,1,0,1
"309",0,4,0,2,0,1,1,1
"310",0,2,0,2,1,0,0,1
"311",0,3,0,2,0,0,0,1
"312",0,6,0,3,0,0,2,2
"313",0,8,0,3,0,0,0,1
"314",0,2,0,1,0,0,0,1
"315",0,4,1,2,0,0,1,0
"316",0,4,0,2,0,1,1,2
"317",0,4,0,3,0,0,0,2
"318",1,5,2,3,0,0,2,1
"319",1,1,1,1,0,0,2,1
"320",0,4,1,1,0,0,0,1
"321",0,3,0,2,0,0,0,1
"322",0,2,0,1,1,0,6,1
"323",0,9,0,2,0,0,1,1
"324",0,4,0,3,0,0,0,2
"325",0,3,0,3,0,0,3,1
"326",0,3,0,2,0,0,0,1
"327",0,5,0,2,0,0,1,1
"328",0,2,0,2,0,0,1,1
"329",0,7,0,2,0,0,0,1
"330",0,2,0,3,0,1,0,2
"331",0,2,0,3,0,0,0,2
"332",0,2,0,3,0,0,0,2
"333",0,7,1,2,0,0,2,1
"334",0,3,0,3,0,0,0,2
"335",0,3,0,2,0,0,1,0
"336",0,3,0,3,0,0,0,1
"337",0,6,0,3,0,1,1,2
"338",0,1,0,1,0,0,0,1
"339",0,2,0,2,0,0,0,2
"340",0,4,1,1,0,0,0,1
"341",0,1,0,2,0,0,0,1
"342",0,1,0,2,0,0,0,1
"343",0,4,0,3,0,0,1,2
"344",0,3,0,3,0,0,3,1
"345",1,3,1,2,1,0,1,1
"346",1,1,1,1,0,0,1,1
"347",1,2,1,2,0,0,2,1
"348",0,11,0,2,0,0,1,1
"349",1,4,1,3,0,0,1,1
"350",0,3,0,3,0,0,0,1
"351",0,2,0,2,0,0,2,1
"352",0,4,0,2,0,0,4,1
